place_name,address,lat,lon,tags,description,category_clean,governorateId
Kam Thai,"El-Madina El-Monawwara, Gazirat Al Awameyah, Luxor, Luxor Governorate 1362211, Egypt",25.6866674,32.6350118,"cozy, local_favorite, restaurant","Experience the true taste of Thailand with dishes prepared by a Thai cook, featuring homemade chili paste and perfectly balanced flavors. Kam Thai is lauded as an absolute gem in Luxor, offering incredibly authentic and flavorful Thai cuisine that provides a welcome break from local dishes.",food_drink,3
Nour el balad,"Nour El Balad, Luxor, Egypt",25.7172423,32.5957457,"historical_site, restaurant, spa, tourist_hotspot","Nour El Balad Hotel Luxor is located about a 25-minute walk from the ancient Egyptian necropolis ""Valley of the Queens"". Boasting a location only a few steps from the Temple of Medinet Habu, the hotel features 21 rooms as well as a restaurant and a storage for belongings.",relaxation,3
Pizza Roma.it,"St، Joseph street، Elawamya, Luxor, Egypt",25.6884689,32.6346382,"cozy, restaurant, tourist_hotspot","If you're looking for a place to enjoy an authentic pizza experience in Luxor, Pizza Roma is the spot to visit. Nestled on St. Joseph Street in Elawamya, this pizzeria offers a cozy atmosphere that makes it a great choice for casual dining. Whether you're a local or a tourist exploring the historic city, the restaurant's menu is sure to satisfy your cravings with its variety of freshly baked pizzas.",food_drink,3
Quick pizza,,25.6925802,32.6401146,"family_friendly, fast_food, restaurant","Quick pizza provides a menu that includes pizzas, pasta dishes, wings and Pizzerts®. It aims to establish itself as a household name across Egypt by offering quick, satisfying meals. The brand focuses on creating memorable moments for customers through its varied menu.",food_drink,9
Kher and Baraka restaurant,"Alexandria, Egypt",25.7017363,32.6436201,"cozy, fast_food, local_favorite, restaurant","El Baraka is a restaurant in Alexandria, Egypt, offering delivery services with a 4.5-star rating based on four reviews. It features a menu that can be explored by selecting the area. The establishment is known for its fast‑food style fare, including fried chicken.",food_drink,4
Panorama Restaurant & Coffee,"Panorama Ramsis Hotel & Cafe, Cairo, Egypt",25.7300187,32.6143532,"cafe, cozy, restaurant","Panorama Restaurant & Coffee is located within Panorama Ramsis Hotel & Cafe, a venue that includes a coffee shop, restaurant, and bar/lounge area. The property offers amenities such as Wi‑Fi, 24‑hour reception, room service, in‑room breakfast, and air‑conditioned rooms with terrace, mini‑bar, and tea/coffee facilities.",food_drink,9
El Fayrouz,"El-Gezeera Village El Fayrouz Hotel, Luxor Egypt.",25.7052581,32.6315787,"cozy, fine_dining, restaurant","El-Gezeera Village El Fayrouz Hotel, Luxor Egypt. CUISINES. Mediterranean, Middle Eastern, Egyptian. Meal types.",food_drink,3
Abu el Hasan Shazly,"2 Ibrahim Abdel Sayed Street, at the Batalsa traffic light, in front of the stadium , Alexandria – Egypt",25.6953885,32.6420551,"hidden_gem, local_favorite, tourist_hotspot","Al-Shazly provides logistic services with branches in Alexandria, Egypt and Sharjah, United Arab Emirates. In Egypt, the office is located at 2 Ibrahim Abdel Sayed Street, at the Batalsa traffic light, in front of the stadium. The company can be contacted via phone numbers +20 120 008 1200 (Egypt) and +971 505 169 058 (UAE).",other,4
Maratonga,"Unnamed Road, Al Bairat, Luxor, Luxor Governorate 85958, Egypt",25.7182172,32.6023209,"cozy, family_friendly, restaurant, tourist_hotspot","Welcome to Cafe & Restaurant Maratonga, a hidden gem nestled in the charming district of Medinet Habu, Luxor. With warm hospitality and a commitment to quality, Maratonga has quickly garnered positive reviews from satisfied patrons. Experience the genuine hospitality of a family run restaurant, just steps away from the Habu Temple. Relish your meal while gazing at the Habu Temple, making for an unforgettable dining experience.",food_drink,3
Banana Island,"Nile River, Luxor, Egypt",25.6860251,32.6218399,"nature, river_view, tourist_hotspot","Banana Island is a historic island on the east bank of the Nile in Luxor, Egypt, known for its eccentric café run by custodian Mr. Lovely. The island hosts a farm spanning 170 acres in the Nile River delta, near Damietta port. Visitors can enjoy a motorboat ride and spend an afternoon exploring the scenic location.",activities,3
مطعم أحباب الحبيب,"مصر الجديدة - ميدان هليوبوليس, القاهرة, مصر",25.6956629,32.6420172,"budget_friendly, family_friendly, local_favorite, restaurant, street_food","مطعم أحباب الحبيب is a restaurant in Heliopolis, Cairo, Egypt, specializing in Egyptian street food and traditional mezze. The menu includes hawawshi, grilled kebabs, falafel, and baklava, and the venue offers delivery services. Reviewers note a friendly atmosphere, authentic flavors reminiscent of home‑cooked Egyptian meals, and attentive service.",food_drink,9
Moaa,"MAASAI Cafe, Trivium Square Mall, North 90th Street, Mohammed Nagib Axis, after Rehab Bridge, Fifth Settlement, New Cairo, Cairo, Egypt",25.7150704,32.6493255,"cafe, cozy, instagrammable, luxury","MAASAI Café is a specialty coffee and pastry shop located in New Cairo, Egypt. It offers single-origin beans, various brewing methods, artisanal pastries and chocolate, set in an earth‑toned, boho‑luxury space that celebrates African craftsmanship.",food_drink,9
Oasis Palace,"Dr Labib Habashy Street, Luxor Egypt",25.7050079,32.6438871,"family_friendly, fine_dining, restaurant","Explore the culinary delights of luxor, egypt at Oasis Palace, where flavors come to life. Indulge in a dining experience that suits every palate with $$ - $$$ options and a 4.5 rating.",food_drink,3
Abo Ashraf,,25.6976647,32.6430015,"fine_dining, local_favorite, restaurant","Abou Ashraf Restaurant is a dining establishment located in Shoubra, Cairo, Egypt. The venue operates as a restaurant and is listed under the Restaurants category in local directories. It currently has no available ratings.",food_drink,9
elhareef grills,,25.6900024,32.6408902,"budget_friendly, cozy, restaurant","Our restaurants offer a variety of dishes that are sure to satisfy any craving. And with our fast delivery service, you can enjoy your favorite Grills dishes without leaving your house.",food_drink,9
Alaa el Din,"57 Saqr Qoraish Bldgs. El Nasr St.,Near To Radisson Blu Hotel - Cairo Heliopolis HELIOPOLIS, CAIRO",25.6994016,32.6411458,"budget_friendly, family_friendly, restaurant, street_food","Alaa el Din is a restaurant in Cairo’s Heliopolis district, specializing in traditional Egyptian dishes such as foul and falafel. It operates from 57 Saqr Qoraish Buildings on El Nasr Street, near the Radisson Blu Hotel. The establishment currently has no available ratings.",food_drink,9
Crocodile,,25.7033308,32.6331176,"local_favorite, restaurant, river_view","It is located on the West bank of Nile. Food was good, well-cooked , some items were delicious. It was a buffet lunch : Chinese, Indian, Egyptian dishes with",food_drink,3
Al-Sahaby Lane,"Al-Sahaby St Via Luxor Temple St, Luxor 85951 Egypt",25.7024206,32.6427341,"restaurant, rooftop, scenic","Al-Sahaby Lane Restaurant in Luxor offers authentic Egyptian cuisine in a rooftop setting with a spectacular view of Luxor Temple. From deliciously spiced lentil soup to traditional camel meat, the diverse menu and the cozy, relaxed atmosphere make it a must-visit for food lovers.",food_drink,3
Jamboree Restaurant,"Luxor, Egypt",25.7011892,32.6426272,"nightlife, restaurant, tourist_hotspot",The brilliance of Jamboree restaurant at night amidst the crowd of pedestrians in the old Luxor market. The delicious food leaves a positive impression.,food_drink,3
Al-Sahaby Lane Restaurant,"Al-Sahaby St Via Luxor Temple St, Luxor 85951 Egypt",25.7015002,32.642333,"cozy, restaurant, rooftop, scenic","Al-Sahaby Lane Restaurant in Luxor offers authentic Egyptian cuisine in a rooftop setting with a spectacular view of Luxor Temple. The menu features dishes such as spiced lentil soup and traditional camel meat, providing a diverse culinary experience. The cozy, relaxed atmosphere makes it a must‑visit for food lovers seeking a memorable dining experience.",food_drink,3
Sunflower Restaurant,"Al Baairat Village, Egypt",25.7030792,32.6334097,"river_view, rooftop, scenic","Great location, very close to the Nile and just a few minutes' walk from the local ferry. Large, spacious and airy rooms; a huge roof terrace with views.",food_drink,3
Street food with tables. 5egp for 1 falafel sandwich,"Cairo, Egypt",25.6960086,32.6425795,"budget_friendly, cozy, local_favorite, street_food","Also just a friendly reminder that Egyptian falafel (taameya) differs from non-Egyptian falafel, so be sure to check our local food article to know the difference. Their menu sticks to tradition - liver sandwiches, different kinds of sausage/’sogouk’ sandwiches (oriental sausage, smoked sausage, minced sausage) and a few dessert sandwiches like clotted cream and honey. If you’re on the east side of Cairo (Nasr City, Heliopolis, New Cairo) then Bashandy is a must-go for classic Egyptian street food.",food_drink,9
El Zaeem Restaurant,"6 Emtedad Ahmed Helmi, st، Rod El Farag, القليوبية 4342001, Egypt",25.7014565,32.643919,"cozy, fast_food, restaurant","El Zaeem is a casual eatery situated on Ibrahim Ramadan Street, branching off from Gamal Abdel Nasser. While it isn't prominently featured on major restaurant directories, it does have a minimal profile on Google. This spot is especially popular for lunch and is a convenient choice for solo diners seeking a quick bite or halal options.",food_drink,9
Peace Abou Zeid,"Zamalek Island, Cairo, Egypt",25.7108749,32.645977,"cozy, historical_site, luxury, restaurant","Peace Abou Zeid is an Egyptian restaurant situated on Zamalek Island in Cairo, offering an authentic culinary experience that recalls the Fatimid Empire. The interior is dark and cavernous, adorned with rich old‑style art, low round tables, and live music, evoking a glamorous past atmosphere. The menu features hearty, plentiful dishes that are likely to leave diners feeling drowsy yet well‑fed.",food_drink,9
Shababik Luxor Cafe -كافيه شبابيك الأقصر,"On the Nile in front of Sofitel Winter Palace, Luxor, Egypt",25.6867032,32.6349349,"local_favorite, restaurant, river_view, tourist_hotspot","At El-Kababgy restaurant in Luxor you will find the best authentic Egyptian food. Try delicious traditionally prepared meals such as Mashi, various tagines, grill specialties such as Shish Tawook, Kebab and Kofta, favorite dishes such as Hammam, Fatta, Mesaka'a and Feteer and more while enjoying the beautiful view over the Nile and the West Bank of Luxor.",food_drink,3
Aladdin‘s Kingdom Restaurant,"El jorf, Luxor, Egypt",25.6862829,32.6214526,"family_friendly, restaurant, tourist_hotspot","El jorf, Luxor 00000 Egypt. Proche de notre hôtel,nous avons découvert ce restaurant.",food_drink,3
Restaurant Mohammed,"Cairo, Egypt",25.7225074,32.6046519,"cozy, family_friendly, local_favorite, restaurant","Palestinian restaurant serving authentic cuisine in Cairo, Egypt. Palestinian-owned restaurant offering oriental dishes, grills and Mandi cooked on firewood (Cairo-based). Palestinian Restaurant offering a variety of Gazan dishes (Cairo-based).",food_drink,9
Al zaeem,"6 Emtedad Ahmed Helmi, st، Rod El Farag, القليوبية 4342001, Egypt",25.6945083,32.6356881,"budget_friendly, local_favorite, restaurant","El Zaeem is an Egyptian restaurant located in Rod El Farag, Qalyubia Governorate, Egypt. The establishment offers a menu that includes crepes, pizza, and pasta, and it is listed on delivery platforms such as Talabat. Contact can be made via phone number +201093661717.",food_drink,14
badia Café,,25.6870891,32.6299487,"cafe, cozy, tourist_hotspot",Badiea Cafe is a café located in Luxor that is featured on TripAdvisor with positive visitor reviews. The venue offers a cozy atmosphere and is accessible through a noted entrance. It is recommended for those seeking a relaxed coffee experience in the city.,food_drink,3
Koshari,📍 located on the corner of Maarouf and Champollion streets in Downtown Cairo,25.6986224,32.6414552,"budget_friendly, local_favorite, street_food",This is the most famous Koshari restaurant in Egypt. He started his Koshari cart in 1950 and eventually turned it into a business. 📍 located on the corner of Maarouf and Champollion streets in Downtown Cairo.,food_drink,9
Sunflower Garden,"Al Bairat, Al Qarna, Luxor Governorate 85958, Egypt",25.7056247,32.6321968,"budget_friendly, local_favorite, restaurant","Nestled in the charming area of Al Bairat, Sunflower Restaurant is a culinary gem that showcases the rich flavors of Egyptian cuisine. Renowned for its diverse menu, featuring an array of meat dishes that cater to both traditional and contemporary tastes. As you step inside, you’ll be greeted by warm hospitality and an ambiance that reflects the essence of local culture.",food_drink,3
Gerda's Garden,"Ali Ibn Abi Taleb Street, Luxor, Egypt",25.6916896,32.6364598,"cozy, nature, river_view, romantic","Gerda's Garden is a very beautiful and romantic outdoor restaurant located on the bank of the Nile River in Luxor. It offers brightly colored Egyptian dishes in a scenic riverside setting. The venue is open daily from 11:00 AM to 11:00 PM, except on Monday when it is closed.",food_drink,3
Marina,Lake Lotawana,25.7141281,32.6478525,"cozy, nature, restaurant","Marina 27 is the only restaurant open to the public on Lake Lotawana. Lake Lotawana is a 600-acre lake with 27 miles of shoreline and inhabits over 2,000 residents. The marina was first built in 1934 and maintained by Kaw Boat Company. Cozy bar with a warm, inviting atmosphere.",food_drink,3
Local street food,"Khan el Khalili, Cairo, Egypt",25.7055152,32.6336809,"budget_friendly, cozy, local_favorite, street_food","In Cairo’s famous historic bazaar, Khan el Khalili, head to Fatatri el Hussein pancake house, Farahat for their stuffed pigeon and grilled meat and Naguib Mahfouz Cafe for a slice of Egyptian late‑night entertainment. On the modern side, Zööba inside the Grand Egyptian Museum is a must‑visit, while street vendors like Baba Abdo serve grilled liver and sausages, and Caizo offers traditional Egyptian shawerma in burger buns.",food_drink,9
Juice Bar,12 Broad St,25.6981257,32.6422509,"budget_friendly, cozy, instagrammable","The Juice Bar is a small eatery that specializes in homemade ice cream and fresh juices, offering items such as waffle cones, blackberry ice cream, and assorted premium toppings. It operates from a location at 12 Broad St, providing opening hours from 8:00 am to 9:00 pm. The business emphasizes family‑friendly service and a casual atmosphere, with merchandise like premium t‑shirts and baked goods available for purchase.",food_drink,9
THEBES Restaurant,"Ramla, Luxor, Egypt",25.7019412,32.6332095,"restaurant, river_view, rooftop","Our concept is from the farm to the table. We have a set menu and daily seasonable specials & our fusions range from modern Egyptian cuisine to organic flame grilled burgers. We also offer exceptional vegan and vegetarian choices, and freshly made fruit juices and local beers and wine.",food_drink,3
Al Ramsseum,"West Bank, opposite Luxor, Luxor, Egypt",25.7289528,32.6121196,"historical_site, landmark, tourist_hotspot","The Ramesseum is the memorial temple (or mortuary temple) of Pharaoh Ramesses II (""Ramesses the Great""). It is located in the Theban Necropolis in Upper Egypt, on the west of the River Nile, across from the modern city of Luxor.",culture,3
El Sayeda Zainab Restaurant,,25.7092195,32.6312569,"local_favorite, religious_site, street_food, tourist_hotspot","El Sayeda Zeinab is located in central Cairo, Egypt, within the Cairo Governorate. The area is known for liver sandwiches, koshari, ta‘ameya, and authentic Egyptian street food. El Sayeda Zeinab metro station provides direct access to the district from central Cairo in about seven minutes.",food_drink,9
El Kababgy,"Kornish Al Nile, Luxor City, Luxor, Luxor Governorate 85111, Egypt",25.6967102,32.6360606,"local_favorite, restaurant, river_view, scenic","At El-Kababgy restaurant in Luxor you will find the best authentic Egyptian food. Try delicious traditionally prepared meals such as Mashi, various tagines, grill specialties such as Shish Tawook, Kebab and Kofta, favorite dishes such as Hammam, Fatta, Mesaka'a and Feteer and more while enjoying the beautiful view over the Nile and the West Bank of Luxor. The restaurant is located on the Nile in front of Sofitel Winter Palace.",food_drink,3
Good cheap falafel,"25.6941226, 32.6397749",25.6941226,32.6397749,"budget_friendly, local_favorite, street_food","Though falafel is enjoyed all over the Middle East, Egypt is recognized as the first to eat these flavorful deep fried treats. I ate quite a bit of falafel, but these little guys in Luxor were among my favorite.",food_drink,3
Good cheap vegetarian street food,,25.6944096,32.6397348,"budget_friendly, local_favorite, street_food","The cheapest are the sandwiches – Egyptian bread filled with some Ta’amiya balls and/or foul for around 50 cents. Kushari is a ubiquitous, cheap, and filling dish consisting of small noodles, rice, and lentils. Freshly squeezed fruit juices are sold at small street stalls and are very cheap, too.",food_drink,9
Good cheap vegetarian fast food,"Cairo, Egypt",25.6944232,32.6394906,"budget_friendly, fast_food, local_favorite, street_food","A cheap vegetarian fast‑food outlet in Cairo that serves falafel, ta'amia, koshari, and a variety of vegan dishes at budget‑friendly prices. The menu offers items such as babaganoush, hummus, sweet‑sour fried vegetables with rice, and stuffed mashed potatoes, all noted for being delicious and filling. Customers frequently order from this spot during Ramadan evenings, appreciating the quick service and affordable pricing.",food_drink,9
Good Arabic fast food,"25.6934044, 32.6402001",25.6934044,32.6402001,"budget_friendly, fast_food, local_favorite","1- Enter your address in the address bar above.

2- Browse Fast Food Restaurants in your area and filter based on ratings, offers, or delivery time.

3- Place your order with your restaurant of choice.",food_drink,9
The farmer's House,"البر الغربي بجوار جزيره الموز الأقصر, Luxor Governorate, Egypt",25.6868388,32.6222582,"cozy, local_favorite, restaurant, tourist_hotspot","The farmer's House- البيت الريفي is a hidden gem located on the west bank of Luxor, offering exceptional food that caters to all dietary needs with generous portions. The restaurant emphasizes fresh, locally sourced ingredients from its own garden, creating a unique and delightful dining experience. Patrons praise the fast, welcoming service and warm, family‑owned atmosphere, making it a memorable spot for breakfast, lunch, or dinner.",food_drink,3
Snack Time,"Maabad el karnak St, Luxor Egypt",25.6986323,32.6402876,"fine_dining, restaurant, tourist_hotspot","Explore the culinary delights of luxor, egypt at Snack Time, where flavors come to life. Indulge in a dining experience that suits every palate with $ options and a 4.0 rating. Secure your table via  and savor unique features like Business. With 45 eateries to choose from, delight in exquisite tastes from to on 04/May/2026, 2026.",food_drink,3
El Hussein Restaurant,"hilton st, New, Karnak, Luxor Governorate, Egypt",25.7058644,32.633175,"budget_friendly, local_favorite, restaurant","El Hussein Restaurant, located in Karnak, Luxor, offers authentic Egyptian cuisine with highly praised seafood soup, grilled fish, and vegetarian options. Customers commend the friendly service, low prices, and vibrant atmosphere. It is a popular spot for both locals and visitors seeking traditional dishes.",food_drink,3
Alcaptain Restaurant,,25.7000119,32.6321575,"cozy, local_favorite, restaurant","Alcaptain Restaurant is a dining establishment located in Cairo, Egypt, known for its Egyptian cuisine and vibrant atmosphere. It offers a curated menu featuring traditional dishes in a relaxed setting.",food_drink,9
Green Oasis,"New Cairo, 3rd Setelement , Building 158 , Cairo, Egypt, 11936.",25.7004732,32.630979,"family_friendly, kid_friendly, park","Playgrounds & Amusement Parks. Details. Closed now. New Cairo, 3rd Setelement , Building 158 , Cairo, Egypt, 11936.",entertainment,9
Gerda's Garden,Ali Ibn Abi Taleb Street,25.6916774,32.6367125,"restaurant, river_view, romantic",Gerda's Garden is a very beautiful and romantic outdoor restaurant on the bank of the Nile River in Luxor. The Egyptian dishes here are brightly colored. Monday: Closed,food_drink,3
Hotel El Gezira,"El Gezira Garden Hotel, Luxor, Egypt",25.7050771,32.632831,"nature, restaurant, rooftop, spa","The El Gezira Hotel is a family‑operated 3‑star hotel located on the West Bank of the Nile near Luxor, offering 11 air‑conditioned rooms, a restaurant, a large front terrace, a roof garden with Nile views, and easy access to ferry and boat services. Guests can enjoy traditional Egyptian cuisine, a rooftop terrace, and various recreational activities such as billiards, darts, and nearby horseback riding. The hotel's proximity to historic sites, the Nile, and local attractions makes it a convenient base for exploring Luxor.",relaxation,3
Station Cafeteria,,25.6965167,32.6447497,"cafe, fast_food, restaurant","Get delivery or pickup from Cairo Station Cafe when you order online with DoorDash. Prices are estimated based on your predicted location and may vary across store, enter address for menu prices at your nearest store. Cairo Station Cafe Menu",food_drink,9
Mamma Mia,"Asalah Square, behind 1000 Sanf, Dahab, Egypt",25.6885504,32.6344419,"local_favorite, restaurant, tourist_hotspot","Mamma Mia is located at Asalah Square, behind 1000 Sanf, Dahab, Egypt. It offers Egypt Dine‑In and advertises itself as serving the best Pizza in Egypt. The venue is listed under Italian Food and Restaurants categories.",food_drink,3
Ramses Restaurant & Cafe,"10 Saif El Deen Mahran, Ramses Square, Downtown, Cairo, Egypt, 3111 - SEE MAP",25.7180993,32.6022361,"cafe, restaurant, rooftop, scenic","Panorama Ramsis Hotel & Cafe is a rooftop café and restaurant perched above Ramses Square in downtown Cairo, offering sweeping city and Nile views and a chic bar, elegant restaurant, and breakfast service. It provides air‑conditioned rooms with complimentary Wi‑Fi, showers, and some rooms have balconies or terraces. Its central location places it within walking distance of attractions such as Al‑Azhar Mosque, Genena Mall, and historic Sharia al‑Mu'izz.",food_drink,9
Nile Rose Café Restaurant,"البحيرات، الرمله, Egypt",25.6994094,32.6317498,"cafe, cozy, quiet_place, restaurant","Looking at reviews from diners who have visited Nile Rose, it’s clear that this spot has earned a loyal following. Many guests praise the cafe for its excellent food, relaxed environment, and exceptional service. It’s not uncommon to hear about guests returning time and time again, drawn by both the delicious food and the inviting, friendly atmosphere.",food_drink,3
Wannas Art Cafe Vegetarian Restaurant,,25.7046764,32.6325544,"art_gallery, cafe, restaurant",On the West Bank near the ferry. Luxor's first vegetarian restaurant. Next to the Old El Gezira Hotel 🕙Time? 10am - 11pm in.,food_drink,3
Moon Cafe,,25.7035565,32.6329136,"cafe, local_favorite, restaurant","Moon Café was launched and started its actual activity in 2010 offering coffee products, beverages, desserts, and sandwiches. Since then, we have been continuously evolving and expanding, with the aim of becoming the number one cafe in Saudi Arabia, where we now have over 20 branches. We constantly strive to improve our products to delight our customers.",food_drink,3
Nile Freedom,"Unnamed Road, Al Bairat, Luxor, Luxor Governorate 1345173, Egypt",25.6999952,32.631807,"restaurant, scenic, tourist_hotspot","Nile Freedom Restaurant branch is located at Unnamed Road, Al Bairat, Luxor, Luxor Governorate 1345173, Egypt. Phone+20 10 64842725",food_drink,3
Rmallah,1111 Munroe Ave,25.6878977,32.6350381,"local_favorite, restaurant, street_food","Palestinian restaurant serving authentic cuisine in Cairo, Egypt. Palestinian-owned restaurant offering oriental dishes, grills and Mandi cooked on firewood (Cairo-based).",food_drink,9
كافيه افندينا,"الهرم .جيزه, Giza",25.8980508,32.7202854,"cafe, cozy, local_favorite, tourist_hotspot","Afandina Café in Giza is a popular café located in the pyramids area of Giza. It offers a café experience within the historic site, with opening hours listed for all days. The venue is situated near other local businesses and attractions.",food_drink,10
Mamlouk Tagine,"Nazlet El-Semman, Egypt",25.7086339,32.6324282,"cozy, local_favorite, restaurant","Mamlouk Tagine is an Egyptian restaurant located in Luxor, Egypt, known for serving traditional tagine and a variety of hummus, tahini, kebabs, and lamb dishes. Reviewers describe it as part of the Mamlouk Pyramids Restaurant & Cafe within the Nazlet El-Semman area. It holds a Tripadvisor rating of 2.6 out of 5.",food_drink,3
Hekaya Restaurant,"254Q+XGH, Nasir El-Thawra, Al Omraneyah Al Gharbeyah, El Omraniya, Giza Governorate 3546221, Egypt",25.7060233,32.6330468,"budget_friendly, cafe, cozy, fast_food, restaurant","Hekaya Restaurant is situated on Mostafa Kamel El-Bahry Street, in front of the university library in Shibin al Kawm, Egypt. The venue operates as a restaurant and coffee shop, offering fast‑food options and a selection of coffee beverages. Customers highlight its clean environment, reasonable prices, and friendly service. The restaurant can be accessed via the nearby 254Q+XGH address in the Nasir El‑Thawra area.",food_drink,15
Temple View,"13 Gamaet El Dewal El Arabeya St., Mohandeseen, Giza",25.7015038,32.6329068,"cafe, local_favorite, restaurant","Location Restaurant is a cafe and coffee shop situated at 13 Gamaet El Dewal El Arabeya Street in Mohandeseen, Giza, Egypt. It offers dining and café services within a vibrant neighborhood. The venue aims to provide a pleasant spot for meals and drinks.",food_drink,10
Two Stories,,25.7013473,32.6328215,"cozy, family_friendly, restaurant","Two Stories is a venue that offers a multi-level dining experience in Giza, Egypt. The establishment is positioned near notable landmarks, providing a distinctive setting for guests.",food_drink,10
Mystic Pizza,"56 West Main St. Mystic, CT 06355.",25.701311,32.6328062,"local_favorite, restaurant, tourist_hotspot",Order online from the original in downtown Mystic and pick up your favorite Mystic Pizza merchandise! Finally...A frozen pizza that doesn't taste like a box!,food_drink,3
Al Hassan,Address not provided in scraped data.,25.7052864,32.6332767,"budget_friendly, fast_food, local_favorite, restaurant","Al Hassan is an Egyptian restaurant situated in Luxor that offers fast‑food style dishes with a typical price range of 10‑20 L.E. The venue provides a no‑smoking area and take‑away service, reflecting common local dining practices.",food_drink,3
Nile View,"Novotel Cairo El Borg, Zamalek",25.7053901,32.6335703,"restaurant, rooftop, scenic",On top of the Novotel right next to the Cairo Tower in Zamalek is their rooftop restaurant Cafe Frais. You can also see clear across the Nile and Qasr el Nil Bridge to the Cairo Museum and Tahrir Square.,food_drink,9
Bil Hana Wa Shifa,"Al Qarna Rd Al Bairat, Luxor, EG",25.7051797,32.6333544,"local_favorite, restaurant, tourist_hotspot","Good food, good service and friendly staff. We had a tasty lentil soup and the tagine moussaka meat... Very good restaurant, good grilled chicken.",food_drink,3
Shisha,"Unmarked doorway, Doqqi",25.7050116,32.6334533,"cafe, cozy, local_favorite, tourist_hotspot","Shisha - a perfect way to relax with friends at a coffee shop. Also known as ‘hookah’ or ‘hubbly bubbly’, ‘shisha’ are the ornate, Arabian water pipes through which Egyptians while away the hours toking contentedly on fruit scented tobacco. Contrary to popular belief, there is nothing illicit or untoward occurring.",food_drink,9
