place_name,city,address,lat,lon,tags,category
Yamatako,Cairo,"Al Azhar Park, Shari‘ Salah Salem, Cairo, Egypt",30.0617034,31.2233688,"restaurant, popular, local",food_drink
Fishfor,Cairo,Various Locations,29.9723299,30.9409789,"fast_food, restaurant, local",food_drink
kmt house,Maadi,"Street 15 Kmt house, Villa 73, El Maadi, Cairo 11728 Egypt",29.9626575,31.2632214,"cozy, local, popular",relaxation
genco speciality coffee,Maadi,"X76F+H7X, Maadi as Sarayat Al Gharbeyah, Maadi, Cairo Governorate 4213041, Egypt",29.9603809,31.2719997,"cafe, cozy, family_friendly",food_drink
huff board game cafe,Maadi,"Degla, Maadi Cairo | Gamal Salem st., Mohandessin",29.9574152,31.2763755,"cafe, family_friendly, cozy, popular",food_drink
villa sumatra,Maadi,,29.9584897,31.2709859,"cafe, cozy, outdoor_seating",food_drink
Al dahan,Cairo,38 League of Arab States Street,29.9688524,31.2779041,"restaurant, family_friendly, takeaway, delivery, local",food_drink
Fudruckers,Cairo,"10 Rd. 263, In Front Of Satellite MAADI, CAIRO Omar Ibn El Khattab St., Inside Citystars, Phase 1, Ground Floor NASR CITY, CAIRO",29.9699762,31.2768121,"fast_food, restaurant, takeaway, delivery",food_drink
What the crust,Cairo,"No. 10 Street 275 Mokarrar, New Maadi, Cairo",29.9698802,31.2751381,"restaurant, family_friendly, kid_friendly, cozy",food_drink
Monyat Cafe,Cairo,55 Union Street,30.096974,31.3171875,"cozy, family_friendly, budget",food_drink
شواية الميرلاند,Cairo,"Al Azhar Park, Shari‘ Salah Salem, Cairo, Egypt",30.0969461,31.3171251,"restaurant, luxury, popular",food_drink
ع الباب,Cairo,"Al Azhar Park, Shari‘ Salah Salem, Cairo, Egypt",30.0958334,31.3161709,"restaurant, luxury, popular",food_drink
Perfect Cup,Cairo,"21,Hanna Khalil St.,Kolaly - Shoubra (Cairo)",30.0967396,31.3167912,"local, popular, cozy, budget",other
Musetti Caffé,New Cairo,"30.0893343, 31.3471645",30.0893343,31.3471645,"cafe, cozy, family_friendly, local, popular",food_drink
Quva Cafe,Cairo,,30.0898756,31.3472954,"cafe, delivery, family_friendly, cozy",food_drink
Elders Cafe,Giza,"26th Of July Spine, El Sheikh Zayed, 6th of october, Giza",30.0898523,31.3472951,"cafe, takeaway, popular",food_drink
كشري بيبو,Giza,"X4MR+MWX، عمر بن الخطاب، نزلة السمان، الهرم، الجيزة، Giza, Giza Governorate, Egypt",29.9706951,31.1457155,"restaurant, fast_food, takeaway",food_drink
Karm elsham,Cairo,"Cairo, Egypt",30.0548408,31.2034818,"restaurant, delivery, popular",food_drink
Vasko,Cairo,"Omar Ibn El Khattab St., Inside Gate Way Mall, Al Rehab City, Cairo",30.0372843,31.2342369,"bakery, cafe, cozy",food_drink
Khan el Khalifi Restaurant,Cairo,"5 ش Sekat Al Badstan, Khan el-Khalili, El Gamaliya, Cairo Governorate, Egypt",30.0480581,31.261627,"restaurant, touristic, historical_site, luxury",food_drink
Tablya Balady,Cairo,8 شارع عبد المجيد الدراملى,30.0427622,31.240398,"restaurant, local, quiet, popular",food_drink
بيتزا العمدة,Cairo,"El Omda, Cairo, Egypt",30.0007222,31.1466804,"restaurant, delivery, popular",food_drink
What The Crust,Maadi,"No. 10 Street 275 Mokarrar, New Maadi, Cairo",29.9938169,31.0431726,"restaurant, family_friendly, kid_friendly, cozy",food_drink
EUGÉNIE CAFE,Cairo,"26V8+HVC,Ismail Aboul Fotouh， Street, Ad Doqi A, Egypt",30.0484685,31.2347724,"restaurant, outdoor_seating, local",food_drink
سوق السمك المنيب,New Cairo,"New Cairo, Egypt",29.989651,31.2091029,"restaurant, delivery, budget, local",food_drink
Tabali Korba,Cairo,"18 Nazih Khalifa st, In Front of Ahram Metro Station, El Korba",30.0912005,31.3264727,"restaurant, budget, family_friendly, delivery, bakery",food_drink
Tabali Zamalek,Cairo,"18 Nazih Khalifa St., In Front Of El Ahram Metro Station, Helipolis, CAIRO",30.0609143,31.2205773,"restaurant, delivery, local, family_friendly",food_drink
Tabali Arkan,Sheikh Zayed City,"Arkan Mall 2, Sky Walk, 2nd Floor, Shop 112",30.0191547,31.0055804,"restaurant, delivery, popular",food_drink
Tabali Mall Of Arabia,6th of October City,"Mall of Arabia Gate 9, The Park, Next to Mori Sushi",30.0078133,30.9774684,"restaurant, delivery, popular",food_drink
Tabali Smart Village,6th of October City,"Smart Village, Inside Linx Business Park 6th of October, Giza, Egypt",30.0799957,31.0160743,"restaurant, takeaway, delivery",food_drink
Tabali New Giza,6th of October City,"El Ain El Sokhna Rd., Inside District 5 EL KATAMEYA, CAIRO",30.0069326,31.0648313,"restaurant, delivery, family_friendly",other
Kansas Fried Chicken,6th of October City,"6th Of October, Cairo",30.0052581,30.9726407,"fast_food, takeaway, delivery, restaurant",other
Kansas Fried Chicken,6th of October city,"Food Court 6th OF OCTOBER, GIZA",29.9942413,30.9496496,"fast_food, family_friendly, popular",food_drink
Volo‘s Café,Giza,"مجمع مطاعم ريفير هاب، 74 Abdulaziz Al Saud, Al Manyal Al Gharbi, Old Cairo, Cairo Governorate 11553, Egypt.",30.0182425,31.2223891,"cozy, touristic, local",food_drink
Zööba,Giza,"The Grand Egyptian Museum, Giza, Egypt",29.9944152,31.1190272,"restaurant, touristic, historical_site",food_drink
Fatatri At Tahrir,Cairo,Just off Tahrir Square,30.0443809,31.2374168,"budget, local, takeaway",food_drink
Nile City Boat,Cairo,"Saray El Gezira Street, Zamalek, Cairo, Egypt",30.0482503,31.2284338,"restaurant, cozy, romantic, touristic",food_drink
Laialy Zaman Cafe,New Cairo,,30.0531393,30.9883057,"cozy, family_friendly, local, cafe",food_drink
Al-Basha,6th of October City,"Saad Bin Abada Street, 6th Of October City, 3232476, EG - MapQuest",30.0518318,31.2277762,"restaurant, family_friendly, local, budget",food_drink
Nile Maxime,Cairo,,30.0569,31.2263034,"luxury, touristic, family_friendly",activities
Reda Macaroni,Cairo,"Bab El Louk, Cairo, Egypt",30.0435906,31.2397494,"restaurant, takeaway, delivery, family_friendly, budget",food_drink
Fasahat Somaya,Cairo,"59 Al Falki, Bab Al Louq, Cairo",30.0457495,31.239484,"cozy, family_friendly, local, restaurant",food_drink
Kazaz,Cairo,"7 Al Bostan Al Seidi, Bab Al Louq, Abdeen, Cairo Governorate 4280124, Egypt",30.0470866,31.2392351,"restaurant, fast_food, local",food_drink
Opera Cafe,Cairo,"26V8+HVC,Ismail Aboul Fotouh، Street, Ad Doqi A, Egypt",30.0436095,31.2225346,"cafe, restaurant, outdoor_seating, local",food_drink
Lakeside Restaurant,Cairo,"Al-Azhar Park, Cairo, Egypt",30.0383337,31.2629963,"cozy, family_friendly, outdoor_seating, touristic",food_drink
Rendez vous,Alexandria,"Alexandria, Egypt",29.9663774,30.93322,"cafe, cozy, luxury",food_drink
بكينج Peking,Cairo,"Mohandessin, 26 El Atteba St., Cairo, Egypt",29.9726085,31.2720699,"restaurant, luxury, family_friendly",food_drink
Restaurants Area,6th of October City,"6th of October, Giza",30.0055237,30.9721729,"restaurant, cafe, outdoor_seating, popular",food_drink
man' oucheh,Cairo,"Talaat Mostafa St. Phase 3,Inside Rehab Mall 2, Ground Floor, Shop 14 AL REHAB CITY, CAIRO  El Nady District, Inside Heliopolis Club EL SHEROUK CITY, CAIRO",29.9540958,31.2631005,"restaurant, family_friendly, cozy",food_drink
McDonald's,Nasr City,"Inside Citystars Mall, Phase 1, 6th Floor, Food Court, NASR CITY, CAIRO",29.9544757,31.2627558,"fast_food, takeaway, family_friendly, popular",other
zed,Sheikh Zayed,"Green Residence compound, E1 ground floor apartment (behind el gezira compound & Hadaek al mohandessin compound), Sheikh Zayed, Egypt",30.0257409,31.2118423,"local, cozy, budget",other
Sea Gull,El Quseir,"Sirena Beach El Quadim Bay, 84712, El Quseir, Egypt",30.0445975,31.2193038,"luxury, fine_dining, cozy, outdoor_seating",food_drink
Roucha & Kandahar,Alexandria,"Alexandria Governorate, Egypt",30.0598395,31.2084533,"restaurant, local, family_friendly",other
VIOLA ROOFTOP,جيزه,"135 Al Nile, st, Al Giza, Giza Governorate 12513, Egypt",30.0250429,31.2184076,"restaurant, cafe, outdoor_seating, family_friendly, cozy",food_drink
Imperial Boat,Cairo,"19 Saray El Gezira St, inside Imperial Boat, Zamalek, Cairo, Egypt",30.0531123,31.2273762,"restaurant, delivery, popular",other
Zeera Cafe,Cairo,"23, Road 205, Degla, Maadi, Cairo, Egypt",29.9662241,31.2686009,"restaurant, cafe, cozy",other
Costa,Cairo,"ADDRESS  Maadi City Center - Carrefour,, Maadi Ring Road,, Cairo, Maadi Directions",29.9656254,31.2696296,"cafe, restaurant, cozy",other
Beano's,Cairo,"Km 6,Inside City Centre Alexandria ALEX. CAIRO DESERT RD., ALEXANDRIA  49 Mohamed Mahmoud St. DOWNTOWN, CAIRO  El Ain El Sokhna Rd.,Inside District 5 Mall EL KATAMEYA, CAIRO  Villa 18 Rd. 210 MAADI, CAIRO  Rd. 10 MAADI, CAIRO  Madinaty Rd., Intersection Of El Rabea Rd.,Inside Madinaty Central Park Madinty, CAIRO  94 Makram Ebaid St. NASR CITY, CAIRO  El Tesaeen El Ganouby St. NEW CAIRO, CAIRO  Ring Rd.,Inside U Venues Mall NEW CAIRO, CAIRO  8, El Sheikh El Marsafy Sq. ZAMALEK, CAIRO  , Juhaina Sq.,Inside Mall Of Arabia 6th OF OCTOBER, GIZA  , Sodic West, Beverly Hills,Inside West Square Mall 6th OF OCTOBER, GIZA  , Central Spine, Zayed 2000,Beside Seoudi Supermarket 6th OF OCTOBER, GIZA  Km 28 Cairo Alex Desert Rd.,Smart Village, Inside Vodafone Egypt ABOU RAWASH, GIZA  Km 28,Inside WOC - Walk Of Cairo CAIRO ALEX DESERT RD., GIZA  Km 28,Inside Dandy Mega Mall CAIRO ALEX DESERT RD., GIZA  14 Mossadak St. DOKKI, GIZA",30.0574116,31.2227163,"cozy, luxury, cafe",other
Koshary Abou Tarek,Cairo,"16 Marouf, Qasr El Nil, Cairo Governorate 4272135 Egypt",30.0502503,31.2377312,"restaurant, budget, popular, local",other
بطاطس اند زلابيا,Cairo,"Fifth Settlement, Carnival Mall, 53rd Street, next to El Mahlawy Market",30.0503615,31.2378984,"restaurant, fast_food, delivery, popular, family_friendly",other
koshari Tahrir,Cairo,"Chillout, El Bahr St., in Front of Governorate and beside Faculty of Education  El Geish Street (El Bahr ), El Helw St.",30.0502685,31.2405917,"restaurant, fast_food, popular, local",other
Carlton Roof Garden,Cairo,"Carlton Hotel, Cairo, Egypt",30.0532372,31.2408655,"cozy, outdoor_seating, romantic, popular, local",other
Le Grillon,Cairo,"8 Kasr Al Nile Beside Egyptian Museum & Steigenberger Hotel, El Tahrir, Cairo Governorate, Egypt",30.0473909,31.2370943,"restaurant, cafe, outdoor_seating, luxury, local",other
Studio Café,Cairo,"62 road 13, Maadi, Cairo, Egypt",30.0465015,31.239311,"cafe, cozy, family_friendly, local",culture
Al Gomhouriya,Cairo,,30.0455797,31.2398421,"local, popular, touristic",other
CaiRoma,Cairo,"19 Youssef El-Gendy, Bab Al Louq, Abdeen, Egypt",30.0458151,31.2393243,"restaurant, cozy, family_friendly, local",other
Baba Abdou,Cairo,"Bab El Sharia, Cairo, Egypt",30.0488093,31.2403615,"fast_food, local, restaurant",other
Empress Show Lounge,Cairo,,30.0580939,31.2251283,"restaurant, cozy, local",entertainment
McDonald's,Cairo,Al Sayed Al Marghany Street 110,30.0528291,31.2231839,"fast_food, delivery, popular, restaurant",other
Abu Khaled,Giza,"Central Spine, El Hosary Sq.,Inside El Amerikeya Center, Bldg. 1 6th OF OCTOBER, GIZA",30.0494386,31.2374582,"restaurant, delivery, popular",other
omkalsoum cafe,Cairo,"Cairo, Egypt",30.0532795,31.2431901,"cozy, romantic, family_friendly",food_drink
Sudan Restaurant,Cairo,"Mustafa Kamel Street, off Street 9 - Al Maady - Close to Maadi Educational Administration",30.0509148,31.2457919,"restaurant, popular, local",other
Crafted Home كرافتيد هوم,Cairo,"Cairo, Egypt",30.0510204,31.242725,"cafe, cozy, family_friendly",other
Citadel View Restaurant,Cairo,"Al Azhar Park, Cairo, Egypt",30.0423978,31.2661102,"restaurant, touristic, cozy",other
مشروع شارع مصر,Minya,"Corniche El Nile, entrance of Damietta, Minya, Egypt",29.9570742,30.9163649,"family_friendly, kid_friendly, outdoor_seating, local",outdoor
Atlantis,Cairo,"Abdulaziz Al Saud, Al Manyal Al Gharbi, Old Cairo, Cairo, Egypt",30.0189479,31.2224651,"restaurant, cafe, touristic",other
Snow Cafe,Dammam,"18th Street, As Salam, Dammam 32416, Saudi Arabia",30.0634145,31.2124048,"cozy, cafe, popular",other
Zööba,Cairo,July 26 Street Zamalek in front of Zamalek Theater,30.0610061,31.2192828,"restaurant, budget, cozy, local",other
Hotmix,Cairo,"Cairo, Egypt",29.8476388,31.2746778,"restaurant, fast_food, budget, takeaway",other
9 Pyramids Lounge,Giza,"Nazlet El-Semman, Al Haram, Giza Governorate 3512201, Egypt",29.9677542,31.1319077,"restaurant, cozy, touristic",other
Street 306,Cairo,Street 306,30.0456759,31.2110439,"local, touristic, cozy",other
Aspero Restaurant,Giza,"133 Nile St, Giza, Egypt",30.0261117,31.2181653,"restaurant, cozy, touristic, local",other
Sabai Sabai,Cairo,"1 El Masry Towers El Gezirah El Wosta St.,Inside Commercial Market, 2nd Floor ZAMALEK, CAIRO",30.0623335,31.2240513,"restaurant, delivery, takeaway",other
Cinnabon,Cairo,"El Nasr Rd., Intersection Of Cairo Suez Rd., Inside City Centre Almaza, 1st Floor, Food Court",30.0496431,31.2426246,"bakery, cafe, takeaway, popular",other
El Mamlaka Cafe,Cairo,"Cairo, Cairo,   Egypt",30.0563236,31.2052433,"cafe, cozy, popular",other
McDonald's,القاهرة,"CAIRO  Ring Rd., El Mearag City,Inside Maadi City Centre, Gate 3, Food Court MAADI",30.0558359,31.1961635,"restaurant, fast_food, takeaway, budget",other
Bon Appétit,Cairo,"Plot 124 El Bonouk St., Sector 1, City Center,Inside First Mall 124, Ground Floor NEW CAIRO",30.0574759,31.2014474,"restaurant, fast_food, delivery, family_friendly",other
Cuffichino,Cairo,"Cairo, Egypt",30.0643559,31.2802153,"cafe, family_friendly, local, cozy",other
Zaatar w Zeit,Cairo,"15225 White by the Waterway, CFC, West Mark, Sheikh Zayed, Sodic Westown Hub, Sheikh Zayed.",30.0078693,30.9911454,"restaurant, fast_food, juice",other
Starbucks,Cairo,"Nehro Street, Cairo, Egypt",30.0081495,30.9923564,"cafe, cozy, popular",other
Hameed,Cairo,,30.0080581,30.9920561,"restaurant, family_friendly, popular, local",other
Hameed,Cairo,Egypt,30.0079082,30.9914529,"restaurant, popular, local",other
Cavallo,Cairo,"Cairo, Egypt",30.0607636,31.345845,"restaurant, local, budget",other
Miso Sushi,Cairo,"Maadi - Street 9, Maadi Station, next to Misr El Kheir Foundation and Cilantro Cafe",30.0607673,31.346247,"restaurant, takeaway, delivery, local",other
SOY WOK,Cairo,"Smouha, Hatem Mosque st., Commercial Market",30.0607502,31.3463114,"restaurant, takeaway, delivery, popular",other
Just smash,Cairo,"كوپري حسب الله الكفراوي بجانب hub50, Zahraa Al Maadi",30.0608164,31.3461014,"restaurant, fast_food, popular",other
Smothie Paradise,Cairo,"Al Abghiyah Street 9 , El Maktam, Sirah Ghaffnert",30.0608504,31.3459856,"juice, cafe, popular",other
Crepe Box,Cairo,"Value Mall, Shop No. 014 (Delivery Only), 1st Area, Al Shorouk",30.0607805,31.3461709,"restaurant, cafe, delivery, takeaway, budget",other
عم سمير بتاع الفطير,Cairo,,30.0626887,31.3457165,"bakery, cafe, family_friendly, local",other
الباشا كافيه,Cairo,"الحديقة الطفل, Al Mintaqah as Sādisah, Nasr City, Cairo Governorate 4450420, Egypt",30.0625955,31.3456242,"cafe, restaurant, cozy, family_friendly, local",other
Fetiret Dina Farms,Giza,"Lebanon Square, Giza, Al Jizah, EG",30.063121,31.3491457,"bakery, restaurant, popular",other
Second Cup Child's park,Giza,"Al Jizah, الشارع نادی الصيد",30.063128,31.3489217,"cafe, luxury, cozy",other
Casa di Gelato,Cairo,"Arabella Plaza, GUC- Arabella- West Arabella, New Cairo old",30.062968,31.3491202,"cafe, takeaway, delivery, family_friendly, cozy",other
Caizo,Cairo,"Degla Maadi, Maadi, Cairo",30.0630327,31.3487608,"restaurant, delivery, popular, fast_food, local",other
Samra Restaurant,Cairo,Mohandeseen 47 El Batal Ahmed Abdel Aziz St.,30.0613653,31.3493468,"restaurant, delivery, family_friendly, cozy",other
Porto,Oakland,"2323 82nd Ave suite 4 , Oakland CA 94605",29.9647114,31.2376934,"local, family_friendly, cozy",other
Sprinkles,Cairo,"Abbasiya, Cairo, Egypt",29.9654052,31.2396123,"restaurant, bakery, local",other
Afandina,Cairo,"Corniche El Nil, Corniche El Maadi, Maadi, Cairo Inside Maadi Island",29.9648716,31.2401809,"restaurant, delivery, outdoor_seating",other
Mocha Chino,Cairo,"14 Dr. El Mahrouky St., Mohandessin, Giza",29.9650559,31.2407658,"family_friendly, cozy, popular",other
Sport,Cairo,,29.9654388,31.2372911,"budget, local, popular",activities
El Rifi Restaurant,New Cairo,"5A by the Waterway Developments Marassi Marina Seasons, New Cairo #20",29.9656,31.2391938,"restaurant, popular, local",other
Italiano,Cairo,"19 Youssef El-Gendy, Bab Al Louq, Abdeen, Egypt",29.9639402,31.2386163,"restaurant, popular, local",other
Italian Restaurant,Cairo,"Park St. Zayed, Cairo, Egypt",29.9644082,31.238296,"restaurant, cozy, family_friendly",other
Afandina,Cairo,"Corniche El Nil, Corniche El Maadi, Maadi, Cairo Inside Maadi Island",29.9649852,31.240107,"restaurant, local, family_friendly, cozy, popular",other
Xpressu Restaurant And Cafe,Cairo,"Cairo, Egypt",30.0986304,31.3202409,"restaurant, cafe, family_friendly",other
Mucho Cafe,Cairo,"Cairo, Egypt",30.0980614,31.3190704,"cafe, cozy, local",other
Starbucks,Cairo,"Nehro Street, Cairo, Egypt",30.0983464,31.3198712,"cafe, cozy, popular",other
Andrea,Cairo,"Corniche El Nil, Corniche El Maadi, Maadi, Cairo.",30.0986143,31.3196539,"restaurant, cafe, fast_food, budget",other
Esperanto Restaurant And Cafe,Cairo,"Cairo, Egypt",30.0988146,31.3188681,"cafe, restaurant, popular",other
Classic Rock Coffee,Cairo,Gamal Abd El Nasser St,30.0986036,31.3188057,"cafe, takeaway, popular",other
La Poire,Cairo,"27 Abd El-Khalik Tharwat, Al Fawalah, Abdeen, Cairo Governorate 11311, Egypt",30.0438938,31.2021357,"cafe, bakery, cozy",other
Laduree Paris,Cairo,"Mall of Egypt, New Cairo, Egypt",29.9784428,31.1247793,"bakery, cafe, luxury, touristic",other
The King Khufu Center,Giza,"X4HF+8P, Nazlet El-Semman, Al Haram, Giza Governorate 12512",29.9784016,31.1238792,"restaurant, outdoor_seating, luxury, touristic",other
Hardee's,Giza,"Vista 6th OF OCTOBER, GIZA, Juhaina Sq., Inside Mall Of Arabia, Gate 23, Food Court",29.9580325,31.0636064,"restaurant, fast_food, budget",other
Dunkin' Donuts,Cairo,"All Season Mall, القطاع الرابع-مشروع مدينتي",29.9579504,31.0632841,"cafe, bakery, family_friendly",other
Al Shaf3y,Cairo,"Cairo, Egypt",30.068336,31.2027801,"restaurant, fast_food, delivery, takeaway, local",other
Horus Cafeteria,Damietta,"Horus University, New Damietta, Egypt",29.9969468,31.2176122,"cafe, restaurant, local",other
Apache Chicken,Cairo,"9 El Alfy St., Downtown, Cairo In Front Of Akher Saa Restaurants",30.0988287,31.3065892,"restaurant, fast_food, delivery, takeaway, popular",other
Starbucks,Cairo,"Nehro Street, Cairo, Egypt",30.0988172,31.3067898,"cafe, cozy, popular, family_friendly",other
Pastaweesy,Cairo,Abdeen Palace Garden,30.0987379,31.3069379,"restaurant, fast_food, budget, takeaway",other
Ezz El Menoufy,Cairo,"Rd., District 11,Inside City Walk Strip 6th OF OCTOBER, GIZA  2 Iran St. DOKKI, GIZA  El Daght El Aaly St., Zone T,Inside Ahram Mall EL HARAM, GIZA",30.0986164,31.3072405,"restaurant, budget, family_friendly, local",other
Mercato,Suez,"Porto Marina El Alamein Rd, Porto Marina Porto Sokhna Ain Sokhna Road",30.0984526,31.3073721,"restaurant, cafe, cozy, family_friendly, delivery",other
Hourani Fish,Giza,"El Nozha St.,Inside El Rayhana Plaza Center 6th OF OCTOBER, GIZA",30.0981376,31.307152,"restaurant, takeaway, delivery, family_friendly",other
Treats 'N Eats,Cairo,"Tahra Palace Park Beside Saray El Kobba Central and Metro Station, El Qobba Palace, Heliopolis",30.0984591,31.3064045,"restaurant, cafe, local",other
Bazooka,Cairo,"20 Samir Abdel Raouf St., Extension of Makram Ebeid, Next to El Serag Mall (Nasr City)",30.0986803,31.306365,"fast_food, restaurant, family_friendly, budget",other
Nile Cafeteria,Cairo,"Located directly on the Nile (500 meters after you pass by HSBC building on the right hand side, directly on the Nile) as you enter Maadi",29.9297803,31.2807229,"cafe, restaurant, popular, local",other
Nile Cafeteria,Cairo,"Located directly on the Nile (500 meters after you pass by HSBC building on the right hand side, directly on the Nile) as you enter Maadi",29.9298305,31.280287,"cafe, cozy, popular, local",other
Nile Cafeteria,Cairo,"Located directly on the Nile (500 meters after you pass by HSBC building on the right hand side, directly on the Nile) as you enter Maadi",29.9301518,31.2802205,"cafe, popular, touristic",other
Prince Cafe,Cairo,"South 90 St 5th Settlement, New Cairo City, Egypt",30.0517803,31.3261703,"cafe, restaurant, cozy",other
Cinnabon,Cairo,"El Nasr Rd., Intersection Of Cairo Suez Rd., Inside City Centre Almaza, 1st Floor, Food Court HELIOPOLIS, CAIRO",30.0630635,31.3491898,"bakery, cafe, takeaway, family_friendly, popular",other
Sushi & co,Cairo,"Park View, Ahmed Fakhry, Nasr City, Cairo, Egypt",30.0629205,31.349125,"restaurant, takeaway, delivery",other
TBS - The Bakery Shop,Cairo,"El Tesaeen El Shamaly St., El Safwa Compound, North Investors, New cairo, Cairo Inside White By The Waterway",30.0629727,31.3491821,"bakery, family_friendly, cozy, local, takeaway",other
KOHI,Cairo,,30.0629252,31.3491869,"cafe, cozy, popular",food_drink
Trianon Cafe,Cairo,"45 El Batal Ahmed Abdel Aziz Street, Apt. 703, Mohandessin 12411, Cairo, Egypt",30.040225,31.2638039,"cafe, restaurant, cozy, local, popular",other
هنا القاهرة,Cairo,"Airport Road, Amman, JO",30.0499648,31.2270966,"cozy, local, touristic",other
Lotus Cafeteria,Cairo,"Giza, Egypt",29.9978936,31.21808,"cafe, family_friendly, cozy, takeaway",other
Cleopatra Beach,Matrouh,"Cleopatra Beach, Mersa Matruh, Marsa Matrouh Governorate, Egypt",31.3738114,27.1906029,"family_friendly, romantic, touristic",outdoor
شارع اسكندرية. مرسي مطروح,Matrouh,"Matruh Governorate, Egypt",31.3551678,27.240173,"touristic, popular, local",outdoor
Love beach,South Sinai,"Na'ama Bay, Sharm El Sheikh, Egypt",31.3683209,27.2216747,"touristic, family_friendly, quiet, popular",relaxation
Nubian house,Luxor,"Al Bairat, Luxor, Luxor Governorate 1345173, Egypt",24.0810903,32.8875969,"restaurant, family_friendly, cozy, outdoor_seating",other
Aswan Moon,Aswan,"Aswan, Egypt",24.0903101,32.8949146,"restaurant, outdoor_seating, local, popular",other
Panorama,Aswan,"P O Box 62 Elephantine Island, 0, aswan, Egypt",24.0860309,32.8916496,"luxury, romantic, touristic, restaurant",other
El Dokka,Aswan,"Location Eissa Island, Aswan Egypt",24.0827001,32.884647,"cozy, family_friendly, popular, local",other
KFC,Cairo,"El Bitash St.,In Front Of Omar Effendi EL BITASH, ALEXANDRIA",24.0880896,32.8929262,"fast_food, family_friendly, budget, takeaway",food_drink
Nubian Dreams,Aswan,"Elephantine Island, Aswan, Egypt",24.0893649,32.890724,"restaurant, cafe, outdoor_seating, touristic, local",food_drink
Nubian House Coffee Shop,Luxor,"Location. Museum Luxor, Luxor Egypt",24.0857463,32.887112,"restaurant, local, touristic",food_drink
Pizza Biti,Aswan,"4W22+4PR, Abu AR Rish Qebli, Aswan, Aswan Governorate 1242871, Egypt",24.100329,32.9017787,"restaurant, fast_food, family_friendly, local",food_drink
Floating Restaurant - El Mabrouka,Cairo,,24.088374,32.8930888,"restaurant, touristic, local",food_drink
Eldethl,Sheikh Zayed City,"Sheikh Zayed City, Egypt",24.0910487,32.8977123,"restaurant, cafe, popular",food_drink
Makani,Aswan,"Imam Al Daaeri, Sheyakhah Oula, Qism Aswan",24.0856284,32.8907113,"bakery, cafe, family_friendly",food_drink
Koshary Alsafoa,Cairo,downtown Cairo,24.0988075,32.9012625,"restaurant, local, popular",food_drink
El Salam Restaurant,Gharbia,"30 Abu Helmous Street, the stadium area, Tanta  Al Gharbia , Egypt",24.098892,32.9015573,"restaurant, bakery, local",food_drink
Mahmut Falafel,Alexandria,"Alexandria, Egypt",24.0922616,32.8978365,"restaurant, budget, popular, local",food_drink
Eplis,Cairo,"Marassi, North Coast, Egypt",24.1324066,32.891612,"cafe, cozy, luxury",food_drink
Jambarika,Cairo,"Cairo, Egypt",24.0895718,32.8978032,"restaurant, popular, local",food_drink
فول وفلافل الونش,Cairo,,24.1014253,32.9019094,"local, budget, family_friendly",food_drink
El Shawesh,Alexandria,"El Shawesh, Alexandria, Egypt",24.0911723,32.8973521,"popular, local, touristic",entertainment
Aswan Plaza / Cilantro,Aswan,"Nile Corniche, Aswan, Egypt",24.097358,32.8983258,"restaurant, cafe, family_friendly",food_drink
